E02387;fullName;jobTitle;department;businessUnit;gender;age;hireDate;annualSalary;country;city;active
E04105;Emily Davis;Sr. Manger;IT;Research & Development;Female;55;8.04.2016;$141.604 ;United States;Seattle;P
E02572;Theodore Dinh;Technical Architect;IT;Manufacturing;Male;59;29.11.1997;$99.975 ;China;Chongqing;P
E02832;Luna Sanders;Director;Finance;Speciality Products;Female;50;26.10.2006;$163.099 ;United States;Chicago;P
E01639;Penelope Jordan;Computer Systems Manager;IT;Manufacturing;Female;26;27.09.2019;$84.913 ;United States;Chicago;P
E00644;Austin Vo;Sr. Analyst;Finance;Manufacturing;Male;55;20.11.1995;$95.409 ;United States;Phoenix;P
E01550;Joshua Gupta;Account Representative;Sales;Corporate;Male;57;24.01.2017;$50.994 ;China;Chongqing;P
E04332;Ruby Barnes;Manager;IT;Corporate;Female;27;1.07.2020;$119.746 ;United States;Phoenix;P
E04533;Luke Martin;Analyst;Finance;Manufacturing;Male;25;16.05.2020;$41.336 ;United States;Miami;P
E03838;Easton Bailey;Manager;Accounting;Manufacturing;Male;29;25.01.2019;$113.527 ;United States;Austin;P
E00591;Madeline Walker;Sr. Analyst;Finance;Speciality Products;Female;34;13.06.2018;$77.203 ;United States;Chicago;P
E03344;Savannah Ali;Sr. Manger;Human Resources;Manufacturing;Female;36;11.02.2009;$157.333 ;United States;Miami;P
E00530;Camila Rogers;Controls Engineer;Engineering;Speciality Products;Female;27;21.10.2021;$109.851 ;United States;Seattle;P
E04239;Eli Jones;Manager;Human Resources;Manufacturing;Male;59;14.03.1999;$105.086 ;United States;Austin;P
E03496;Everleigh Ng;Sr. Manger;Finance;Research & Development;Female;51;10.06.2021;$146.742 ;China;Shanghai;P
E00549;Robert Yang;Sr. Analyst;Accounting;Speciality Products;Male;31;4.11.2017;$97.078 ;United States;Austin;P
E00163;Isabella Xi;Vice President;Marketing;Research & Development;Female;41;13.03.2013;$249.270 ;United States;Seattle;P
E00884;Bella Powell;Director;Finance;Research & Development;Female;65;4.03.2002;$175.837 ;United States;Phoenix;P
E04116;Camila Silva;Sr. Manger;Marketing;Speciality Products;Female;64;1.12.2003;$154.828 ;United States;Seattle;P
E04625;David Barnes;Director;IT;Corporate;Male;64;3.11.2013;$186.503 ;United States;Columbus;P
E03680;Adam Dang;Director;Sales;Research & Development;Male;45;9.07.2002;$166.331 ;China;Chongqing;P
E04732;Elias Alvarado;Sr. Manger;IT;Manufacturing;Male;56;9.01.2012;$146.140 ;Brazil;Manaus;P
E03484;Eva Rivera;Director;Sales;Manufacturing;Female;36;2.04.2021;$151.703 ;United States;Miami;P
E00671;Logan Rivera;Director;IT;Research & Development;Male;59;24.05.2002;$172.787 ;Brazil;Rio de Janerio;P
E02071;Leonardo Dixon;Analyst;Sales;Speciality Products;Male;37;5.09.2019;$49.998 ;United States;Seattle;P
E02206;Mateo Her;Vice President;Sales;Speciality Products;Male;44;2.03.2014;$207.172 ;China;Chongqing;P
E04545;Jose Henderson;Director;Human Resources;Speciality Products;Male;41;17.04.2015;$152.239 ;United States;Columbus;P
E00154;Abigail Mejia;Quality Engineer;Engineering;Corporate;Female;56;5.02.2005;$98.581 ;Brazil;Rio de Janerio;P
E03343;Wyatt Chin;Vice President;Engineering;Speciality Products;Male;43;7.06.2004;$246.231 ;United States;Seattle;P
E00304;Carson Lu;Engineering Manager;Engineering;Speciality Products;Male;64;4.12.1996;$99.354 ;China;Beijing;P
E02594;Dylan Choi;Vice President;IT;Corporate;Male;63;11.05.2012;$231.141 ;China;Beijing;P
E00402;Ezekiel Kumar;IT Coordinator;IT;Research & Development;Male;28;25.06.2017;$54.775 ;United States;Columbus;P
